Fecha;Cuenta Contable;Tipo Movimiento;"Clasificación;Documento Fiscal;Centro de Costo";Valor;Saldo
27/3/2022;301;Entrada;"Ingresos por ventas;1008935;198502";23049;373133
27/3/2022;101;Salida;"Gastos de personal;1008932;198505";24151;348982
27/3/2022;202;Salida;"Gastos de personal;1008934;198501";96911;252071
27/3/2022;101;Entrada;"Ingresos por ventas;1008936;198501";57711;309782
27/3/2022;201;Entrada;"Ingresos por ventas;1008937;198504";92052;401834
27/3/2022;202;Salida;"Gastos de personal;1008938;198501";94262;307572
27/3/2022;301;Salida;"Gastos de personal;1008939;198503";21215;286357
27/3/2022;101;Salida;"Gastos administrativos;1008940;198503";93210;193147
29/3/2022;201;Salida;"Gastos administrativos;1008941;198502";28766;164381
29/3/2022;202;Salida;"Gastos en servicios;1008942;198502";25660;138721
29/3/2022;301;Salida;"Gastos en servicios;1008943;198502";22750;115971
29/3/2022;202;Entrada;"Otros ingresos;1008946;198501";33319;149290
7/4/2022;301;Entrada;"Otros ingresos;1008947;198501";33264;182554
7/4/2022;202;Entrada;"Otros ingresos;1008950;198505";54159;236713
7/4/2022;301;Entrada;"Otros ingresos;1008951;198505";22728;259441
7/4/2022;101;Entrada;"Otros ingresos;1008952;198503";27470;286911
13/4/2022;201;Entrada;"Otros ingresos;1008953;198503";28254;315165
13/4/2022;202;Entrada;"Otros ingresos;1008954;198503";92467;407632
13/4/2022;301;Salida;"Gastos administrativos;1008955;198501";27757;379875
13/4/2022;201;Entrada;"Otros ingresos;1008957;198501";28129;408004
14/4/2022;202;Entrada;"Otros ingresos;1008958;198503";29767;437771
14/4/2022;101;Entrada;"Otros ingresos;1008960;198504";55399;493170
14/4/2022;201;Entrada;"Otros ingresos;1008961;198505";52573;545743
14/4/2022;202;Salida;"Gastos administrativos;1008962;198501";22468;523275
14/4/2022;301;Entrada;"Otros ingresos;1008963;198502";23155;546430
14/4/2022;101;Entrada;"Otros ingresos;1008964;198501";93668;640098
14/4/2022;201;Entrada;"Otros ingresos;1008965;198504";81736;721834
14/4/2022;202;Entrada;"Otros ingresos;1008966;198502";23974;745808
15/4/2022;301;Salida;"Gastos administrativos;1008967;198505";17263;728545
15/4/2022;201;Salida;"Gastos comerciales;1008969;198501";22024;706521
15/4/2022;301;Salida;"Gastos comerciales;1008971;198502";22939;683582
15/4/2022;101;Salida;"Gastos en servicios;1008968;198503";21932;661650
17/4/2022;202;Salida;"Gastos en servicios;1008970;198501";54724;606926
17/4/2022;202;Salida;"Gastos en servicios;1008974;198503";33662;573264
17/4/2022;301;Salida;"Gastos en servicios;1008975;198501";54181;519083
17/4/2022;101;Salida;"Gastos administrativos;1008976;198504";93068;426015
23/4/2022;201;Salida;"Gastos administrativos;1008977;198502";51331;374684
23/4/2022;101;Entrada;"Otros ingresos;1008980;198505";32135;406819
23/4/2022;201;Entrada;"Otros ingresos;1008981;198505";35843;442662
23/4/2022;202;Salida;"Gastos comerciales;1008982;198502";81400;361262
25/4/2022;301;Salida;"Gastos comerciales;1008983;198503";93473;267789
25/4/2022;202;Salida;"Gastos administrativos;1008986;198504";54044;213745
25/4/2022;301;Salida;"Gastos administrativos;1008987;198502";54741;159004
25/4/2022;101;Entrada;"Ingresos por ventas ;1008588;198501";66418;225422
1/5/2022;301;Salida;"Gastos administrativos;1008611;198505";66841;158581
1/5/2022;202;Entrada;"Ingresos por ventas;1008641;198504";89628;248209
1/5/2022;101;Entrada;"Ingresos por ventas ;1008663;198501";56429;304638
1/5/2022;201;Salida;"Gastos en servicios;1008684;198504";25862;278776
4/5/2022;101;Entrada;"Ingresos por ventas ;1008707;198504";93507;372283
4/5/2022;101;Entrada;"Ingresos por ventas ;1008748;198503";84769;457052
4/5/2022;101;Entrada;"Ingresos por ventas ;1008768;198503";81176;538228
4/5/2022;201;Entrada;"Ingresos por ventas ;1008562;198501";98376;636604
4/5/2022;101;Entrada;"Ingresos por ventas ;1008619;198502";95295;731899
4/5/2022;301;Salida;"Gastos administrativos;1008642;198503";33960;697939
4/5/2022;202;Entrada;"Ingresos por ventas;1008685;198503";80697;778636
4/5/2022;201;Salida;"Gastos en servicios;1008708;198501";96494;682142
9/5/2022;201;Salida;"Gastos en servicios;1008769;198502";21531;660611
9/5/2022;202;Entrada;"Ingresos por ventas;1008590;198502";66749;727360
9/5/2022;201;Salida;"Gastos en servicios;1008620;198501";81007;646353
9/5/2022;101;Entrada;"Ingresos por ventas ;1008643;198502";60880;707233
9/5/2022;301;Salida;"Gastos administrativos;1008686;198505";33110;674123
9/5/2022;201;Salida;"Gastos en servicios;1008728;198502";84417;589706
9/5/2022;201;Salida;"Gastos en servicios;1008749;198504";84480;505226
9/5/2022;301;Salida;"Gastos administrativos;1008591;198504";81797;423429
10/5/2022;101;Entrada;"Ingresos por ventas ;1008612;198503";67526;490955
10/5/2022;202;Entrada;"Ingresos por ventas;1008621;198504";68839;559794
10/5/2022;201;Salida;"Gastos en servicios;1008664;198501";22615;537179
10/5/2022;101;Entrada;"Ingresos por ventas ;1008687;198504";68265;605444
14/5/2022;202;Entrada;"Ingresos por ventas;1008729;198503";78985;684429
14/5/2022;202;Entrada;"Ingresos por ventas;1008750;198503";96920;781349
14/5/2022;201;Salida;"Gastos en servicios;1008613;198504";96961;684388
14/5/2022;301;Salida;"Gastos administrativos;1008622;198502";85041;599347
24/5/2022;202;Entrada;"Ingresos por ventas;1008665;198505";82469;681816
24/5/2022;201;Salida;"Gastos en servicios;1008688;198503";33877;647939
24/5/2022;202;Entrada;"Ingresos por ventas;1008709;198505";63225;711164
24/5/2022;301;Salida;"Gastos administrativos;1008730;198505";89225;621939
28/5/2022;202;Entrada;"Ingresos por ventas;1008770;198503";74426;696365
28/5/2022;202;Entrada;"Ingresos por ventas;1008614;198502";60402;756767
28/5/2022;101;Entrada;"Ingresos por ventas ;1008623;198504";98928;855695
28/5/2022;201;Salida;"Gastos en servicios;1008644;198501";33543;822152
28/5/2022;301;Salida;"Gastos administrativos;1008666;198501";98272;723880
28/5/2022;301;Salida;"Gastos administrativos;1008710;198505";59631;664249
28/5/2022;101;Entrada;"Ingresos por ventas ;1008731;198505";81241;745490
28/5/2022;301;Salida;"Gastos administrativos;1008771;198501";81368;664122
5/6/2022;101;Entrada;"Ingresos por ventas ;1008592;198503";96804;760926
5/6/2022;301;Salida;"Gastos administrativos;1008615;198501";81022;679904
5/6/2022;202;Entrada;"Ingresos por ventas;1008645;198505";68333;748237
5/6/2022;101;Entrada;"Ingresos por ventas ;1008667;198504";84228;832465
6/6/2022;201;Salida;"Gastos en servicios;1008732;198504";33146;799319
6/6/2022;301;Salida;"Gastos administrativos;1008751;198502";22437;776882
6/6/2022;101;Entrada;"Ingresos por ventas ;1008772;198503";86224;863106
6/6/2022;201;Salida;"Gastos en servicios;1008593;198501";77013;786093
8/6/2022;101;Entrada;"Ingresos por ventas ;1008616;198504";90442;876535
8/6/2022;301;Salida;"Gastos administrativos;1008646;198505";77510;799025
8/6/2022;201;Salida;"Gastos en servicios;1008668;198503";77341;721684
8/6/2022;202;Entrada;"Ingresos por ventas;1008689;198501";83021;804705
8/6/2022;101;Entrada;"Ingresos por ventas ;1008711;198505";83894;888599
8/6/2022;101;Entrada;"Ingresos por ventas ;1008752;198501";90223;978822
8/6/2022;201;Salida;"Gastos en servicios;1008773;198503";85985;892837
8/6/2022;202;Entrada;"Ingresos por ventas;1008594;198503";84544;977381
10/6/2022;201;Salida;"Gastos en servicios;1008624;198501";25771;951610
10/6/2022;101;Entrada;"Ingresos por ventas ;1008647;198504";62431;1014041
10/6/2022;301;Salida;"Gastos administrativos;1008690;198505";22207;991834
10/6/2022;201;Salida;"Gastos en servicios;1008712;198503";23557;968277
11/6/2022;201;Salida;"Gastos en servicios;1008753;198504";84472;883805
11/6/2022;202;Entrada;"Ingresos por ventas;1008774;198502";71989;955794
11/6/2022;301;Salida;"Gastos administrativos;1008595;198505";91662;864132
11/6/2022;202;Entrada;"Ingresos por ventas;1008625;198504";60790;924922
14/6/2022;201;Salida;"Gastos en servicios;1008648;198505";85759;839163
14/6/2022;101;Entrada;"Ingresos por ventas ;1008691;198501";59849;899012
14/6/2022;202;Entrada;"Ingresos por ventas;1008733;198504";79122;978134
14/6/2022;202;Entrada;"Ingresos por ventas;1008754;198504";61932;1040066
14/6/2022;101;Entrada;"Ingresos por ventas ;1008596;198503";62107;1102173
14/6/2022;201;Salida;"Gastos en servicios;1008617;198504";33855;1068318
14/6/2022;301;Salida;"Gastos administrativos;1008626;198501";87309;981009
14/6/2022;202;Entrada;"Ingresos por ventas;1008669;198503";75795;1056804
17/6/2022;201;Salida;"Gastos en servicios;1008692;198504";26798;1030006
17/6/2022;301;Salida;"Gastos administrativos;1008734;198503";91436;938570
17/6/2022;301;Salida;"Gastos administrativos;1008755;198503";33089;905481
17/6/2022;202;Entrada;"Ingresos por ventas;1008618;198502";95759;1001240
18/6/2022;101;Entrada;"Ingresos por ventas ;1008627;198505";93679;1094919
18/6/2022;301;Salida;"Gastos administrativos;1008670;198505";91474;1003445
18/6/2022;202;Entrada;"Ingresos por ventas;1008693;198504";83821;1087266
18/6/2022;202;Entrada;"Ingresos por ventas;1008713;198501";84496;1171762
22/6/2022;301;Salida;"Gastos administrativos;1008775;198505";33705;1138057
22/6/2022;201;Entrada;"Ingresos por ventas;1008628;198505";76436;1214493
22/6/2022;202;Entrada;"Ingresos por ventas;1008649;198504";77737;1292230
22/6/2022;101;Entrada;"Ingresos por ventas ;1008671;198505";90855;1383085
1/7/2022;301;Salida;"Gastos administrativos;1008714;198503";86547;1296538
1/7/2022;101;Entrada;"Ingresos por ventas ;1008735;198502";79285;1375823
1/7/2022;101;Entrada;"Ingresos por ventas ;1008776;198502";82278;1458101
1/7/2022;201;Salida;"Gastos en servicios;1008597;198502";91087;1367014
3/7/2022;301;Salida;"Gastos administrativos;1008650;198505";33412;1333602
3/7/2022;201;Salida;"Gastos en servicios;1008672;198502";71767;1261835
3/7/2022;101;Entrada;"Ingresos por ventas ;1008715;198502";85711;1347546
3/7/2022;201;Salida;"Gastos en servicios;1008736;198505";33534;1314012
5/7/2022;101;Entrada;"Ingresos por ventas ;1008756;198503";96833;1410845
5/7/2022;201;Salida;"Gastos en servicios;1008777;198502";21820;1389025
5/7/2022;202;Entrada;"Ingresos por ventas;1008598;198501";92312;1481337
5/7/2022;101;Entrada;"Ingresos por ventas ;1008651;198505";80076;1561413
5/7/2022;202;Entrada;"Ingresos por ventas;1008673;198505";67060;1628473
5/7/2022;301;Salida;"Gastos administrativos;1008694;198501";22741;1605732
5/7/2022;201;Salida;"Gastos en servicios;1008716;198504";84878;1520854
5/7/2022;202;Entrada;"Ingresos por ventas;1008778;198501";93274;1614128
16/7/2022;301;Salida;"Gastos administrativos;1008599;198501";78618;1535510
16/7/2022;202;Entrada;"Ingresos por ventas;1008629;198501";62870;1598380
16/7/2022;201;Salida;"Gastos en servicios;1008652;198504";85104;1513276
16/7/2022;101;Entrada;"Ingresos por ventas ;1008695;198501";93842;1607118
27/7/2022;202;Entrada;"Ingresos por ventas;1008717;198502";93209;1700327
27/7/2022;201;Salida;"Gastos en servicios;1008757;198502";26750;1673577
27/7/2022;301;Salida;"Gastos administrativos;1008779;198502";55354;1618223
27/7/2022;101;Entrada;"Ingresos por ventas ;1008600;198502";99993;1718216
29/7/2022;301;Salida;"Gastos administrativos;1008630;198503";81587;1636629
29/7/2022;202;Entrada;"Ingresos por ventas;1008653;198502";86358;1722987
29/7/2022;201;Salida;"Gastos en servicios;1008696;198504";88734;1634253
29/7/2022;202;Entrada;"Ingresos por ventas;1008737;198502";89584;1723837
1/8/2022;202;Entrada;"Ingresos por ventas;1008758;198505";82909;1806746
1/8/2022;201;Entrada;"Ingresos por ventas;1008601;198501";84587;1891333
1/8/2022;101;Entrada;"Ingresos por ventas ;1008631;198505";77184;1968517
1/8/2022;301;Salida;"Gastos administrativos;1008674;198503";89225;1879292
2/8/2022;202;Entrada;"Ingresos por ventas;1008697;198504";71109;1950401
2/8/2022;301;Salida;"Gastos administrativos;1008738;198501";33620;1916781
2/8/2022;301;Salida;"Gastos administrativos;1008759;198503";76237;1840544
2/8/2022;201;Salida;"Gastos en servicios;1008632;198502";22453;1818091
2/8/2022;101;Entrada;"Ingresos por ventas ;1008675;198505";90990;1909081
2/8/2022;301;Salida;"Gastos administrativos;1008698;198505";81255;1827826
2/8/2022;301;Salida;"Gastos administrativos;1008718;198501";76307;1751519
2/8/2022;101;Entrada;"Ingresos por ventas ;1008739;198505";64720;1816239
5/8/2022;101;Entrada;"Ingresos por ventas ;1008780;198503";92198;1908437
5/8/2022;202;Entrada;"Ingresos por ventas;1008633;198502";79640;1988077
5/8/2022;301;Entrada;"Ingresos por ventas;1008654;198503";60021;2048098
5/8/2022;201;Salida;"Gastos en servicios;1008676;198505";22622;2025476
11/8/2022;101;Entrada;"Ingresos por ventas ;1008719;198503";80507;2105983
11/8/2022;201;Salida;"Gastos en servicios;1008740;198501";76778;2029205
11/8/2022;201;Salida;"Gastos en servicios;1008781;198502";22972;2006233
11/8/2022;202;Entrada;"Ingresos por ventas;1008602;198503";82238;2088471
18/8/2022;101;Entrada;"Ingresos por ventas ;1008655;198505";71276;2159747
18/8/2022;202;Entrada;"Ingresos por ventas;1008677;198501";83101;2242848
18/8/2022;201;Salida;"Gastos en servicios;1008720;198505";85425;2157423
18/8/2022;202;Entrada;"Ingresos por ventas;1008741;198502";83312;2240735
22/8/2022;101;Entrada;"Ingresos por ventas ;1008760;198503";80923;2321658
22/8/2022;202;Entrada;"Ingresos por ventas;1008782;198505";79800;2401458
22/8/2022;301;Salida;"Gastos administrativos;1008603;198501";84558;2316900
22/8/2022;201;Salida;"Gastos en servicios;1008656;198504";22688;2294212
30/8/2022;301;Salida;"Gastos administrativos;1008678;198502";81971;2212241
30/8/2022;101;Entrada;"Ingresos por ventas ;1008699;198503";90119;2302360
30/8/2022;202;Entrada;"Ingresos por ventas;1008721;198502";55984;2358344
